level,word,pinyin,english
3,阿姨,āyí,aunt
3,矮,ǎi,low; short (in length)
3,爱人,àiren,spouse (PRC); lover (non-PRC)
3,安静,ānjìng,quiet; peaceful; calm
3,安全,ānquán,safe; secure; safety; security
3,搬,bān,to move (i.e. relocate oneself); to move (sth relatively heavy or bulky); to shift; to copy indiscriminately
3,班级,bānjí,class (group of students); grade (in school)
3,搬家,bānjiā,to move house; to relocate; to remove (sth)
3,办,bàn,to do; to manage; to handle; to go about; to run; to set up; to deal with
3,办法,bànfǎ,means; method; way (of doing sth)
3,半天,bàntiān,half of the day; a long time; quite a while; midair
3,帮助,bāngzhù,assistance; aid; to help; to assist
3,饱,bǎo,to eat till full; satisfied
3,报纸,bàozhǐ,newspaper; newsprint
3,北,běi,north; (classical) to be defeated
3,北方,běifāng,the north; the northern part (of a country etc)
3,被,bèi,"quilt; to cover (with); (literary) to suffer (a misfortune); used to indicate passive voice (placed before the doer of the action like ""by"" in English passive-voice sentences, or, if the doer is not mentioned, before the verb); (since c. 2009) (sarcastic or jocular) used to indicate that the following word should be regarded as being in air quotes (as in 被旅游 to ""go on a trip"", for example)"
3,比较,bǐjiào,to compare; to contrast; comparatively; relatively; quite; comparison
3,笔记本,bǐjìběn,notebook (stationery); notebook (computing)
3,比如,bǐrú,for example; for instance; such as
3,比赛,bǐsài,match; competition; contest
3,必须,bìxū,to have to; must; compulsory; necessarily
3,变成,biànchéng,to change into; to turn into; to become
3,变化,biànhuà,(intransitive) to change; to vary; change; variation
3,表演,biǎoyǎn,play; show; performance; exhibition; to perform; to act; to demonstrate
3,别的,biéde,else; other
3,别人,biérén,other people; others; other person
3,宾馆,bīnguǎn,guesthouse; lodge; hotel
3,冰,bīng,ice; to chill sth; (of an object or substance) to feel cold; (of a person) cold; unfriendly; (slang) methamphetamine; variant of 冰
3,冰激凌,bīngjīlíng,ice cream
3,冰箱,bīngxiāng,icebox; freezer cabinet; refrigerator
3,病人,bìngrén,sick person; patient; invalid
3,不见,bújiàn,not to see; not to meet; to have disappeared; to be missing
3,不用,búyòng,need not
3,不同,bùtóng,different; not the same
3,不久,bùjiǔ,not long (after); before too long; soon; soon after
3,不行,bùxíng,won't do; be out of the question; be no good; not work; not be capable
3,才,cái,ability; talent; sb of a certain type; a capable individual; then and only then; just now; (before an expression of quantity) only; (variant of 才) just now; (variant of 才) (before an expression of quantity) only
3,菜单,càidān,menu
3,草,cǎo,variant of 草; grass; straw; manuscript; draft (of a document); careless; rough
3,草地,cǎodì,lawn; meadow; sod; turf
3,层,céng,to pile on top of one another; layer; stratum; floor (of a building); story; (math.) sheaf; classifier for layers
3,查,chá,to research; to check; to investigate; to examine; to refer to; to look up (e.g. a word in a dictionary)
3,差,chà,different; wrong; mistaken; to fall short; to lack; not up to standard; inferior; Taiwan pr. [chā]
3,差不多,chàbuduō,almost; nearly; more or less; about the same; good enough; not bad
3,尝,cháng,to taste; to try (food); to experience; (literary) ever; once; to taste; to experience (variant of 尝); old variant of 尝
3,常,cháng,surname Chang; always; ever; often; frequently; common; general; constant
3,常常,chángcháng,frequently; often
3,衬衫,chènshān,shirt
3,成绩,chéngjì,achievement; performance records; grades
3,迟到,chídào,to arrive late
3,出发,chūfā,to set off; to start (on a journey)
3,出生,chūshēng,to be born
3,出院,chūyuàn,to be discharged from hospital
3,初中,chūzhōng,junior high school (abbr. for 初级中学)
3,春天,chūntiān,spring (season)
3,词典,cídiǎn,dictionary; also written 辞典
3,聪明,cōngmíng,intelligent; clever; bright; smart; acute (of sight and hearing)
3,打扫,dǎsǎo,to clean; to sweep
3,打算,dǎsuàn,to plan; to intend; to calculate; plan; intention; calculation
3,大概,dàgài,roughly; probably; rough; approximate; about; general idea
3,大人,dàren,adult; grownup; title of respect toward superiors
3,大小,dàxiǎo,dimension; magnitude; size; measurement; large and small; at any rate; adults and children; consideration of seniority
3,大熊猫,dàxióngmāo,giant panda (Ailuropoda melanoleuca)
3,大衣,dàyī,overcoat; topcoat; cloak
3,担心,dānxīn,anxious; worried; uneasy; to worry; to be anxious
3,蛋糕,dàngāo,cake
3,当然,dāngrán,of course; as a matter of course; natural; inevitable; as expected
3,到处,dàochù,everywhere
3,得,dé,to obtain; to get; to gain; to catch (a disease); proper; suitable; proud; contented; to allow; to permit; ready; finished
3,得到,dédào,to get; to obtain; to receive
3,得分,défēn,to score
3,得,děi,to have to; must; ought to; to need to
