level,word,pinyin,english
2,啊,a,interjection for surprise; a sigh; an exclamation
2,爱好,àihào,to like; to be fond of; to take pleasure in; to be keen on; interest; hobby
2,白色,báisè,white; fig. reactionary; anti-communist
2,班,bān,surname Ban; team; class; grade; (military) squad; work shift; classifier for groups of people and scheduled transport vehicles
2,帮,bāng,"old variant of 帮; to help; to assist; to support; for sb (i.e. as a help); hired (as worker); side (of pail, boat etc); outer layer; upper (of a shoe); group; gang; clique; party; secret society"
2,包,bāo,surname Bao; to cover; to wrap; to hold; to include; to take charge of; to contract (to or for); package; wrapper; container; bag; to hold or embrace; bundle; packet
2,本子,běnzi,"book; notebook; Japanese-style self-published comic (esp. an erotic one), aka ""dōjinshi""; edition"
2,比,bǐ,Belgium; Belgian; abbr. for 比利时; to compare; (followed by a noun and adjective) more {adj.} than {noun}; ratio; to gesture; (Taiwan pr. [bì] in some compounds derived from Classical Chinese)
2,笔,bǐ,"pen; pencil; writing brush; to write or compose; the strokes of Chinese characters; classifier for sums of money, deals"
2,别,bié,"surname Bie; to leave; to part (from); (literary) to differentiate; to distinguish; (bound form) other; another; different; don't ...!; to fasten with a pin or clip; to stick in; to insert (in order to hinder movement); (noun suffix) category (e.g. 性别, 派别)"
2,不错,búcuò,correct; right; not bad; pretty good
2,不好意思,bù hǎoyìsi,to feel embarrassed; to find it embarrassing; to be sorry (for inconveniencing sb)
2,长,cháng,length; long; forever; always; constantly
2,车站,chēzhàn,rail station; bus stop
2,出,chū,"to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; (used after a verb to indicate an outward direction or a positive result); classifier for dramas, plays, operas etc; variant of 出 (classifier for plays or chapters of classical novels)"
2,出国,chūguó,to go abroad; to leave the country
2,出来,chūlái,to come out; to emerge; to appear; (of a doctor) to make a house call; to come (in one's turn)
2,出门,chūmén,to go out; to leave home; to go on a journey; away from home; (of a woman) to get married
2,床,chuáng,bed; couch; classifier for beds; variant of 床
2,词,cí,"old variant of 词; word; statement; speech; lyrics; a form of lyric poetry, flourishing in the Song dynasty 宋朝"
2,次,cì,"next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time"
2,从,cóng,from; always; follow; obey; (of two or more people) together
2,从小,cóngxiǎo,from childhood; from a young age
2,打车,dǎchē,to take a taxi (in town); to hitch a lift
