level,word,pinyin,english
1,爱,ài,to love; to be fond of; to like; affection; to be inclined (to do sth); to tend to (happen)
1,八,bā,eight; 8
1,爸爸,bàba,(coll.) father; dad
1,吧,ba, (indicates suggestion or agreement) all right; go ahead
1,白天,báitiān,daytime; during the day; day
1,包子,bāozi,bao (steamed stuffed bun)
1,杯子,bēizi,cup; glass
1,本,běn,"root; stem; origin; source; this; the current; original; inherent; originally; classifier for books, periodicals, files etc"
1,边,biān,side; edge; margin; border; boundary; simultaneously
1,病,bìng,illness; disease; to fall ill; defect
1,不,bù,no; not so; (bound form) not; un-
1,不客气,bú kèqi,you're welcome; don't mention it; impolite; rude; blunt
1,不要,búyào,don't!; must not
1,菜,cài,dish (type of food); vegetable; cuisine; (coll.) (one's) type; (of one's skills etc) weak; poor
1,茶,chá,tea; tea plant
1,超市,chāoshì,supermarket (abbr. for 超级市场)
1,车,chē,surname Che; car; vehicle; machine; to shape with a lathe; Kangxi radical 159
1,吃,chī, to eat
1,出租车,chūzūchē,taxi; (Tw) rental car
1,穿,chuān,to wear; to put on; to dress; to bore through; to pierce; to perforate; to penetrate; to pass through; to thread
1,打电话,dǎ diànhuà,to make a telephone call
1,大,dà,big; large; great; older (than another person); eldest (as in 姐); greatly; freely; fully; (dialect) father; (dialect) uncle (father's brother)
1,大学,dàxué,"the Great Learning, one of the Four Books 四书 in Confucianism; university; college"
1,大学生,dàxuéshēng,university student; college student
1,到,dào,to reach; to arrive; to leave for; to go to; to (a place); until (a time); up to (a point); (verb complement indicating arriving at a place or reaching a point); considerate; thoughtful; thorough
1,的,de,of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); also pr. [dì] or [di] in poetry and songs
1,第,dì,"(prefix indicating ordinal number, as in 六 ""sixth""); (literary) grades in which successful candidates in the imperial examinations were placed; (old) residence of a high official; (literary) but; however; (literary) only; just"
1,弟弟,dìdi,younger brother
1,点,diǎn,point; dot; drop; speck; o'clock; point (in space or time); to draw a dot; to check on a list; to choose; to order (food in a restaurant); to touch briefly; to hint; to light; to ignite; to pour a liquid drop by drop; (old) one fifth of a two-hour watch 更; dot stroke in Chinese characters; classifier for items
1,店,diàn,inn; old-style hotel; (bound form) shop; store
1,电话,diànhuà,telephone; phone call; phone number
1,电脑,diànnǎo,computer
1,电视,diànshì,television; TV
1,电影,diànyǐng,movie; film
1,电影院,diànyǐngyuàn,cinema; movie theater
1,都,dōu,all; both; entirely; (used for emphasis) even; already; (not) at all
1,读,dú,to read out; to read aloud; to read; to attend (school); to study (a subject in school); to pronounce
1,读书,dúshū,to read a book; to study; to attend school
1,对,duì,correct; right; proper; to face; towards; for; to; give or send (sth) to; to pair; correct; match; variant of 对; opposite
1,对不起,duìbuqǐ,I'm sorry; excuse me; I beg your pardon; to let (sb) down; to disappoint
1,儿子,érzi,son
1,二,èr,two; 2; (Beijing dialect) stupid
1,饭,fàn,cooked rice; meal; (loanword) fan; devotee
1,饭店,fàndiàn,restaurant; hotel
1,房间,fángjiān,room
1,非常,fēicháng,very; really; unusual; extraordinary
1,飞机,fēijī,airplane
1,分,fēn,to divide; to separate; to distribute; to allocate; to distinguish (good and bad); (bound form) branch of (an organization); sub- (as in 局); fraction; one tenth (of certain units); unit of length equivalent to 0.33 cm; minute (unit of time); minute (angular measurement unit); a point (in sports or games); 0.01 yuan (unit of money)
1,分钟,fēnzhōng,minute
1,高兴,gāoxìng,happy; glad; willing (to do sth); in a cheerful mood
1,哥哥,gēge,older brother
1,个,gè,(classifier used before a noun that has no specific classifier); (bound form) individual; variant of 个
1,给,gěi, to give; to let; to allow; to do (sb) a favor; (bound form) because; in view of; to hand over; to hand in; to give (or send) (sb) a letter etc; to give (sb) a surname; to name
1,公司,gōngsī,company; firm; corporation
1,工作,gōngzuò,to work; (of a machine) to operate; job; work; task
1,狗,gǒu,dog
1,贵,guì,expensive; noble; precious; (honorific) your
1,还,hái,still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else
1,孩子,háizi,child
1,汉语,Hànyǔ,Chinese language
1,汉字,Hànzì,Chinese character; Japanese: kanji; Korean: hanja; Vietnamese: hán tự
1,好吃,hǎochī,tasty; delicious
1,好看,hǎokàn,"good-looking; nice-looking; good (of a movie, book, TV show etc); embarrassed; humiliated"
1,好听,hǎotīng,pleasant to hear
1,好玩儿,hǎowánr,erhua variant of 好玩; amusing; fun; interesting
1,号,hào,ordinal number; day of a month; mark; sign; business establishment; size; ship suffix; horn (wind instrument); bugle call; assumed name; to take a pulse; classifier used to indicate number of people
1,喝,hē,to drink; variant of 嗬
1,和,hé,"and; with;harmonious; peaceful; gentle; conciliatory; surname He; (math.) plus; to mix; to blend"
1,很,hěn,(adverb of degree); quite; very; awfully
1,回,huí,to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book); to curve; variant of 回
1,会,huì,can; to have the skill; to know how to; to be likely to; to be sure to; to meet; to get together; meeting; gathering; (suffix) union; group; association; (bound form) a moment (Taiwan pr. [huǐ])
1,火车,huǒchē,train
1,鸡蛋,jīdàn,egg
1,几,jǐ,how much; how many; several; a few
1,见,jiàn,to see; to meet; to appear (to be sth); to interview; opinion; view
1,件,jiàn,"item; component; classifier for events, things, clothes etc"
1,饺子,jiǎozi,dumpling; pot-sticker
1,叫,jiào,to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood); variant of 叫
1,姐姐,jiějie,older sister
1,今年,jīnnián,this year
1,今天,jīntiān,today; at the present; now
1,九,jiǔ,nine; 9
1,觉得,juéde,to think that ...; to feel that ...; to feel (uncomfortable etc)
